neighbourhood,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Allerton,87.5952380952381,42,16.97142857142857,42.92857142857143,10.9,57.3,36.2,32.4
Arden Heights,67.25,4,30.5875,7.75,8.4,23.0,6.5,12.2
Arrochar,115.0,21,18.616190476190475,14.619047619047619,14.4,53.1,12.3,25.4
Arverne,154.30263157894737,76,28.049605263157893,29.644736842105264,19.3,29.4,25.0,24.0
Astoria,100.63504464285714,896,5.781584821428572,21.543526785714285,12.6,85.4,18.2,36.1
Bath Beach,81.76470588235294,17,15.016470588235293,21.352941176470587,10.2,62.2,18.0,28.1
Battery Park City,212.9264705882353,68,2.3276470588235294,8.529411764705882,26.6,94.1,7.2,41.0
Bay Ridge,103.34532374100719,139,11.449928057553956,18.834532374100718,12.9,71.2,15.9,31.3
Bay Terrace,142.0,6,20.311666666666667,41.5,17.8,48.9,35.0,32.3
"Bay Terrace, Staten Island",102.5,2,27.755000000000003,1.5,12.8,30.1,1.3,14.5
Baychester,75.42857142857143,7,19.07857142857143,44.285714285714285,9.4,52.0,37.4,30.6
Bayside,93.6842105263158,38,22.20684210526316,24.342105263157894,11.7,44.1,20.5,24.1
Bayswater,87.47058823529412,17,29.96294117647059,11.235294117647058,10.9,24.6,9.5,14.6
Bedford-Stuyvesant,100.76602650797945,3697,6.975747903705708,29.713822017852312,12.6,82.4,25.1,37.3
Belle Harbor,171.5,8,25.19,9.25,21.4,36.6,7.8,21.9
Bellerose,99.35714285714286,14,27.68357142857143,8.428571428571429,12.4,30.3,7.1,16.2
Belmont,77.125,24,13.737083333333333,12.333333333333334,9.6,65.4,10.4,26.6
Bensonhurst,75.78666666666666,75,13.814666666666666,24.6,9.5,65.2,20.8,29.6
Bergen Beach,106.7,10,15.584999999999999,20.5,13.3,60.8,17.3,28.8
Boerum Hill,171.45454545454547,176,3.1760227272727275,24.40340909090909,21.4,92.0,20.6,42.3
Borough Park,63.06617647058823,136,10.13514705882353,16.41176470588235,7.9,74.5,13.8,29.6
Breezy Point,213.33333333333334,3,24.97666666666667,1.6666666666666667,26.7,37.1,1.4,22.2
Briarwood,89.61818181818182,55,19.98690909090909,22.581818181818182,11.2,49.7,19.1,25.1
Brighton Beach,93.17567567567568,74,19.16554054054054,18.2027027027027,11.6,51.8,15.4,24.8
Bronxdale,57.10526315789474,19,15.277894736842104,24.105263157894736,7.1,61.5,20.3,27.4
Brooklyn Heights,189.41059602649005,151,1.7078807947019867,16.76158940397351,23.7,95.7,14.1,42.4
Brownsville,76.45901639344262,61,11.049180327868852,31.34426229508197,9.6,72.2,26.5,33.4
Bull's Head,47.333333333333336,6,24.373333333333335,15.333333333333334,5.9,38.6,12.9,17.8
Bushwick,83.75325203252032,2460,8.664296747967478,21.33739837398374,10.5,78.2,18.0,33.1
Cambria Heights,81.73076923076923,26,28.703461538461536,18.653846153846153,10.2,27.7,15.7,17.1
