neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Allston,186.2622950819672,122,4.188688524590164,57.34426229508197,36.2,69.7,53.3,51.4
Back Bay,324.5662251655629,302,1.8350662251655632,42.824503311258276,63.1,86.7,39.8,63.2
Bay Village,319.6818181818182,66,3.1353030303030303,60.95454545454545,62.1,77.3,56.6,65.0
Beacon Hill,185.3197969543147,197,3.806700507614213,55.77157360406091,36.0,72.5,51.8,51.7
Brighton,182.57692307692307,234,6.034957264957265,47.50854700854701,35.5,56.4,44.1,44.3
Charlestown,301.4193548387097,62,5.997258064516129,79.88709677419355,58.6,56.7,74.2,62.7
Chinatown,362.0,30,4.164,43.0,70.3,69.9,39.9,61.1
Dorchester,185.26315789473685,475,7.5669894736842105,47.38315789473684,36.0,45.3,44.0,41.2
Downtown,378.9136690647482,278,4.356942446043165,92.61510791366906,73.6,68.5,86.0,75.8
East Boston,183.43636363636364,165,9.184303030303031,107.66666666666667,35.6,33.6,100.0,54.3
Fenway,295.98984771573606,197,0.7381218274111675,59.81725888324873,57.5,94.7,55.6,68.1
Hyde Park,146.4,65,13.841076923076923,39.13846153846154,28.4,0.0,36.4,22.3
Jamaica Plain,277.09444444444443,180,4.9639444444444445,82.89444444444445,53.8,64.1,77.0,63.8
Leather District,233.5,6,4.351666666666667,1.6666666666666667,45.4,68.6,1.5,39.2
Longwood Medical Area,514.75,4,1.225,24.0,100.0,91.1,22.3,74.0
Mattapan,196.43333333333334,60,10.741666666666667,33.7,38.2,22.4,31.3,31.4
Mission Hill,172.34782608695653,69,2.4585507246376808,55.08695652173913,33.5,82.2,51.2,53.4
North End,295.4835164835165,91,5.554615384615384,56.35164835164835,57.4,59.9,52.3,56.6
Roslindale,160.36470588235295,85,10.226470588235294,45.870588235294115,31.2,26.1,42.6,33.1
Roxbury,191.1640625,256,3.652890625,67.5078125,37.1,73.6,62.7,55.7
South Boston,270.2097902097902,143,5.836853146853146,70.97202797202797,52.5,57.8,65.9,58.1
South Boston Waterfront,341.44642857142856,56,5.804464285714286,4.321428571428571,66.3,58.1,4.0,45.2
South End,284.57416267942585,209,2.6161244019138756,73.03827751196172,55.3,81.1,67.8,66.8
West End,267.3333333333333,39,4.17,14.153846153846153,51.9,69.9,13.1,45.7
West Roxbury,182.125,72,12.011805555555556,45.388888888888886,35.4,13.2,42.2,30.8
