cluster_id,center_lat,center_lon,listing_count,avg_price,max_price,total_value,tier
10,42.32866252853856,-71.11160011163304,33,574.2121212121212,961.0,18949.0,Premium
8,42.34517655523116,-71.06357360668525,20,447.95,961.0,8959.0,Premium
3,42.33527023779567,-71.0531016864208,12,390.4166666666667,946.0,4685.0,Premium
1,42.36556758791234,-71.05946874254337,123,367.4715447154472,998.0,45199.0,Premium
2,42.3284037864987,-71.09432382906967,15,363.4,796.0,5451.0,Premium
0,42.35001990123993,-71.07336684124816,738,351.57181571815715,979.0,259460.0,Premium
4,42.35098383712408,-71.04527714305077,48,342.8958333333333,929.0,16459.0,Premium
9,42.33653855557499,-71.08463326524975,16,342.4375,507.0,5479.0,Premium
5,42.34439912273003,-71.09974184630774,63,330.57142857142856,968.0,20826.0,Premium
11,42.34067348,-71.04942592,10,309.8,439.0,3098.0,Premium
7,42.36663050472963,-71.0376377975456,14,291.42857142857144,432.0,4080.0,Premium
6,42.34735718386514,-71.14594217733328,32,263.0625,379.0,8418.0,Premium
