neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Albany Park,149.82432432432432,74,16.30472972972973,45.270270270270274,36.9,52.7,32.6,40.4
Archer Heights,103.42857142857143,7,16.184285714285714,121.85714285714286,25.5,53.1,87.7,52.4
Armour Square,168.3804347826087,92,5.326847826086956,63.23913043478261,41.5,84.5,45.5,55.6
Ashburn,177.9090909090909,11,22.722727272727273,29.0,43.8,34.1,20.9,34.0
Auburn Gresham,179.77777777777777,27,20.554444444444446,22.37037037037037,44.3,40.4,16.1,34.7
Austin,157.87692307692308,65,16.092307692307692,32.49230769230769,38.9,53.3,23.4,38.6
Avalon Park,196.25,4,20.5575,9.75,48.3,40.4,7.0,33.5
Avondale,149.04458598726114,157,12.994458598726116,55.71974522292994,36.7,62.3,40.1,45.4
Belmont Cragin,184.47619047619048,42,17.226904761904763,23.523809523809526,45.4,50.0,16.9,38.2
Beverly,206.0,20,25.9875,49.65,50.7,24.6,35.7,38.4
Bridgeport,137.74585635359117,181,7.282265193370165,38.09944751381215,33.9,78.9,27.4,45.4
Brighton Park,146.8181818181818,33,12.505151515151516,61.18181818181818,36.2,63.7,44.0,46.8
Burnside,171.66666666666666,3,23.2,17.666666666666668,42.3,32.7,12.7,30.5
Calumet Heights,147.88235294117646,17,22.889411764705883,17.41176470588235,36.4,33.6,12.5,28.4
Chatham,223.68421052631578,19,21.31157894736842,16.526315789473685,55.1,38.2,11.9,37.1
Chicago Lawn,127.14285714285714,7,17.61285714285714,29.142857142857142,31.3,48.9,21.0,33.5
Clearing,292.0,11,22.407272727272726,2.3636363636363638,71.9,35.0,1.7,39.8
Douglas,164.5164835164835,91,7.671868131868131,41.043956043956044,40.5,77.7,29.5,48.4
Dunning,180.38888888888889,36,22.54416666666667,32.52777777777778,44.4,34.6,23.4,35.2
East Garfield Park,168.1098901098901,91,9.00967032967033,89.08791208791209,41.4,73.9,64.1,58.0
East Side,57.92307692307692,13,28.50923076923077,19.23076923076923,14.3,17.3,13.8,15.0
Edgewater,184.65408805031447,159,16.22320754716981,81.39622641509433,45.5,52.9,58.6,51.6
Edison Park,52.0,1,28.86,7.0,12.8,16.3,5.0,11.5
Englewood,79.59183673469387,49,16.20755102040816,37.3469387755102,19.6,53.0,26.9,31.8
Forest Glen,127.0,6,22.386666666666667,69.66666666666667,31.3,35.1,50.1,38.1
Fuller Park,153.66666666666666,3,10.17,16.666666666666668,37.8,70.5,12.0,39.9
Gage Park,100.66666666666667,6,15.436666666666667,15.666666666666666,24.8,55.2,11.3,29.9
Garfield Ridge,159.0,11,19.685454545454544,42.09090909090909,39.2,42.9,30.3,37.6
Grand Boulevard,168.91666666666666,120,10.35725,39.13333333333333,41.6,70.0,28.2,46.1
Greater Grand Crossing,154.02439024390245,41,17.750731707317073,25.634146341463413,37.9,48.5,18.4,35.2
Hegewisch,98.33333333333333,6,34.47666666666667,44.833333333333336,24.2,0.0,32.3,19.4
Hermosa,197.96428571428572,28,13.969285714285714,54.214285714285715,48.8,59.5,39.0,49.1
Humboldt Park,122.25,72,10.82625,60.90277777777778,30.1,68.6,43.8,45.8
Hyde Park,135.19148936170214,94,13.039574468085107,40.691489361702125,33.3,62.2,29.3,40.8
Irving Park,154.70552147239263,163,15.444110429447852,78.74233128834356,38.1,55.2,56.6,48.8
Jefferson Park,149.63829787234042,47,21.694468085106383,88.02127659574468,36.9,37.1,63.3,44.9
Kenwood,98.42424242424242,66,11.581212121212122,40.39393939393939,24.2,66.4,29.1,38.3
Lake View,289.67137096774195,496,10.074919354838709,87.98387096774194,71.3,70.8,63.3,68.8
Lincoln Park,295.45255474452557,274,6.5722992700729925,85.47080291970804,72.8,80.9,61.5,71.8
Lincoln Square,143.31372549019608,102,15.206862745098038,89.25490196078431,35.3,55.9,64.2,50.2
Logan Square,195.80506329113925,395,10.346582278481012,87.74430379746835,48.2,70.0,63.1,59.2
Loop,385.80580357142856,448,1.2218080357142858,36.611607142857146,95.0,96.5,26.3,74.8
Lower West Side,148.59241706161137,211,6.461090047393364,76.79620853080569,36.6,81.3,55.2,55.6
Mckinley Park,83.40384615384616,52,9.623269230769232,50.17307692307692,20.5,72.1,36.1,40.7
Montclare,100.25,12,20.595,38.166666666666664,24.7,40.3,27.5,30.2
Morgan Park,123.6923076923077,13,28.921538461538464,41.23076923076923,30.5,16.1,29.7,25.9
Mount Greenwood,98.0,1,29.44,139.0,24.1,14.6,100.0,44.0
Near North Side,406.0686936936937,888,2.430304054054054,34.682432432432435,100.0,93.0,25.0,75.4
Near South Side,312.2716049382716,243,3.6857201646090534,36.098765432098766,76.9,89.3,26.0,65.4
Near West Side,284.2395644283122,551,4.747259528130671,37.86025408348458,70.0,86.2,27.2,62.0
New City,71.66666666666667,39,12.345641025641026,18.512820512820515,17.6,64.2,13.3,30.3
North Center,218.92248062015503,129,11.609689922480621,85.10852713178295,53.9,66.3,61.2,59.8
North Lawndale,137.90384615384616,52,10.105961538461539,40.19230769230769,34.0,70.7,28.9,43.5
North Park,148.61904761904762,21,18.435238095238095,55.714285714285715,36.6,46.5,40.1,40.6
Norwood Park,101.0909090909091,44,25.233409090909092,75.43181818181819,24.9,26.8,54.3,34.3
Oakland,171.0,13,9.315384615384614,31.23076923076923,42.1,73.0,22.5,45.5
Ohare,171.44444444444446,9,27.763333333333335,16.77777777777778,42.2,19.5,12.1,26.4
Portage Park,123.58,100,18.7623,42.36,30.4,45.6,30.5,35.0
Pullman,103.66666666666667,15,28.20133333333333,57.93333333333333,25.5,18.2,41.7,28.2
Rogers Park,143.93661971830986,142,19.732323943661974,60.443661971830984,35.4,42.8,43.5,40.0
Roseland,174.22222222222223,18,25.74888888888889,31.444444444444443,42.9,25.3,22.6,31.5
South Chicago,98.04545454545455,22,22.155454545454546,18.0,24.1,35.7,12.9,24.2
South Deering,132.75,8,25.365000000000002,7.75,32.7,26.4,5.6,22.7
South Lawndale,113.76086956521739,46,10.62978260869565,53.26086956521739,28.0,69.2,38.3,43.4
South Shore,156.72173913043477,115,18.79608695652174,23.382608695652173,38.6,45.5,16.8,34.1
