neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Allerton,136.11764705882354,34,17.103235294117646,42.23529411764706,13.1,57.1,21.1,28.7
Arden Heights,79.66666666666667,3,30.27333333333333,12.333333333333334,7.6,24.1,6.2,12.1
Arrochar,144.08333333333334,12,18.488333333333333,42.083333333333336,13.8,53.7,21.0,27.9
Arverne,224.67164179104478,67,27.861044776119403,42.17910447761194,21.6,30.2,21.1,24.0
Astoria,143.56140350877192,285,5.695263157894737,51.329824561403505,13.8,85.7,25.7,38.9
Bath Beach,168.0,24,14.942083333333334,45.333333333333336,16.1,62.5,22.7,32.0
Battery Park City,334.77777777777777,18,2.2566666666666664,79.05555555555556,32.1,94.3,39.5,53.0
Bay Ridge,118.43589743589743,78,11.463589743589743,27.858974358974358,11.4,71.3,13.9,30.1
Bay Terrace,126.33333333333333,3,20.143333333333334,31.666666666666668,12.1,49.5,15.8,24.4
"Bay Terrace, Staten Island",123.0,1,26.65,1.0,11.8,33.2,0.5,14.8
Baychester,103.85714285714286,14,18.999285714285715,9.785714285714286,10.0,52.4,4.9,21.2
Bayside,198.0,34,21.94,30.852941176470587,19.0,45.0,15.4,25.7
Bayswater,110.11111111111111,9,29.678888888888892,43.666666666666664,10.6,25.6,21.8,18.5
Bedford-Stuyvesant,147.91666666666666,1440,7.335506944444444,49.56319444444444,14.2,81.6,24.8,37.6
Belle Harbor,215.125,8,24.99375,34.75,20.7,37.3,17.4,24.7
Bellerose,150.78571428571428,14,27.755,36.42857142857143,14.5,30.4,18.2,20.4
Belmont,104.71428571428571,14,13.595714285714285,29.357142857142858,10.1,65.9,14.7,28.2
Bensonhurst,133.2058823529412,34,13.780294117647058,44.705882352941174,12.8,65.5,22.4,31.5
Bergen Beach,208.875,16,15.25625,37.6875,20.1,61.8,18.8,32.2
Boerum Hill,391.91803278688525,61,3.1903278688524592,50.90163934426229,37.6,92.0,25.5,50.3
Borough Park,101.25714285714285,35,9.874571428571429,38.97142857142857,9.7,75.2,19.5,32.3
Breezy Point,111.42857142857143,7,24.75857142857143,16.285714285714285,10.7,37.9,8.1,18.1
Briarwood,297.7916666666667,24,20.112916666666667,41.666666666666664,28.6,49.6,20.8,32.6
Brighton Beach,116.55,40,19.04825,28.5,11.2,52.3,14.2,24.4
Bronxdale,69.36363636363636,11,15.484545454545453,42.54545454545455,6.7,61.2,21.3,27.4
Brooklyn Heights,309.8888888888889,36,1.6775,30.083333333333332,29.8,95.8,15.0,45.2
Brownsville,130.75,80,11.280249999999999,46.6875,12.6,71.7,23.3,33.5
Bull's Head,171.0,7,23.04,30.857142857142858,16.4,42.2,15.4,23.8
Bushwick,119.34193548387097,775,8.868683870967741,30.081290322580646,11.5,77.8,15.0,32.4
Cambria Heights,126.8695652173913,46,28.868695652173916,25.67391304347826,12.2,27.6,12.8,17.0
Canarsie,141.7037037037037,189,14.527037037037038,58.544973544973544,13.6,63.6,29.3,33.3
Carroll Gardens,287.23943661971833,71,3.7108450704225358,68.21126760563381,27.6,90.7,34.1,48.5
Castle Hill,121.28571428571429,7,13.817142857142857,35.57142857142857,11.6,65.4,17.8,29.6
Castleton Corners,120.0,4,19.0475,31.25,11.5,52.3,15.6,25.0
Chelsea,358.4111969111969,518,1.4770270270270272,41.54054054054054,34.4,96.3,20.8,48.9
