neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Allerton,136.11764705882354,34,17.103235294117646,42.23529411764706,22.7,57.1,21.1,32.5
Arden Heights,79.66666666666667,3,30.27333333333333,12.333333333333334,13.3,24.1,6.2,14.4
Arrochar,144.08333333333334,12,18.488333333333333,42.083333333333336,24.0,53.7,21.0,32.0
Arverne,210.96969696969697,66,27.85439393939394,42.22727272727273,35.2,30.2,21.1,29.5
Astoria,139.5387323943662,284,5.700598591549296,51.51056338028169,23.3,85.7,25.8,42.8
Bath Beach,168.0,24,14.942083333333334,45.333333333333336,28.0,62.5,22.7,36.8
Battery Park City,291.0,17,2.232941176470588,83.70588235294117,48.5,94.4,41.9,60.3
Bay Ridge,118.43589743589743,78,11.463589743589743,27.858974358974358,19.7,71.3,13.9,33.4
Bay Terrace,126.33333333333333,3,20.143333333333334,31.666666666666668,21.1,49.5,15.8,28.0
"Bay Terrace, Staten Island",123.0,1,26.65,1.0,20.5,33.2,0.5,18.3
Baychester,103.85714285714286,14,18.999285714285715,9.785714285714286,17.3,52.4,4.9,24.1
Bayside,157.6969696969697,33,21.948181818181816,31.242424242424242,26.3,45.0,15.6,28.7
Bayswater,110.11111111111111,9,29.678888888888892,43.666666666666664,18.4,25.6,21.8,21.6
Bedford-Stuyvesant,144.87047353760445,1436,7.339749303621169,49.51532033426184,24.1,81.6,24.8,41.6
Belle Harbor,215.125,8,24.99375,34.75,35.9,37.3,17.4,30.8
Bellerose,150.78571428571428,14,27.755,36.42857142857143,25.1,30.4,18.2,24.6
Belmont,104.71428571428571,14,13.595714285714285,29.357142857142858,17.5,65.9,14.7,31.2
Bensonhurst,133.2058823529412,34,13.780294117647058,44.705882352941174,22.2,65.5,22.4,35.2
Bergen Beach,208.875,16,15.25625,37.6875,34.8,61.8,18.8,38.1
Boerum Hill,286.05172413793105,58,3.1975862068965517,48.293103448275865,47.7,92.0,24.1,53.9
Borough Park,101.25714285714285,35,9.874571428571429,38.97142857142857,16.9,75.2,19.5,35.2
Breezy Point,111.42857142857143,7,24.75857142857143,16.285714285714285,18.6,37.9,8.1,21.2
Briarwood,122.91304347826087,23,20.088260869565218,43.47826086956522,20.5,49.6,21.7,29.6
Brighton Beach,116.55,40,19.04825,28.5,19.4,52.3,14.2,27.7
Bronxdale,69.36363636363636,11,15.484545454545453,42.54545454545455,11.6,61.2,21.3,29.4
Brooklyn Heights,278.57142857142856,35,1.6974285714285713,30.37142857142857,46.4,95.7,15.2,51.8
Brownsville,130.75,80,11.280249999999999,46.6875,21.8,71.7,23.3,37.2
Bull's Head,171.0,7,23.04,30.857142857142858,28.5,42.2,15.4,28.7
Bushwick,112.86804657179819,773,8.866843467011643,30.146183699870633,18.8,77.8,15.1,35.4
Cambria Heights,126.8695652173913,46,28.868695652173916,25.67391304347826,21.1,27.6,12.8,20.6
Canarsie,136.0744680851064,188,14.534840425531916,58.8563829787234,22.7,63.6,29.4,37.0
Carroll Gardens,248.98529411764707,68,3.7091176470588234,69.0,41.5,90.7,34.5,54.2
Castle Hill,121.28571428571429,7,13.817142857142857,35.57142857142857,20.2,65.4,17.8,33.0
Castleton Corners,120.0,4,19.0475,31.25,20.0,52.3,15.6,28.4
Chelsea,305.610101010101,495,1.4701616161616162,43.12929292929293,50.9,96.3,21.6,55.7
"Chelsea, Staten Island",70.0,1,26.43,2.0,11.7,33.7,1.0,15.1
Chinatown,241.92546583850933,161,1.5206832298136648,53.27950310559006,40.3,96.2,26.6,53.0
City Island,187.64285714285714,14,21.951428571428572,50.642857142857146,31.3,45.0,25.3,33.6
Civic Center,309.0,6,1.39,51.5,51.5,96.5,25.8,57.3
Claremont Village,139.05,20,10.5475,36.75,23.2,73.6,18.4,36.9
Clason Point,104.26470588235294,34,12.887941176470589,29.441176470588236,17.4,67.7,14.7,31.7
Clifton,103.6,10,15.818000000000001,96.0,17.3,60.3,48.0,39.4
Clinton Hill,257.85207100591714,169,4.620118343195266,57.81065088757396,43.0,88.4,28.9,52.4
Co-op City,61.6,5,19.662,23.8,10.3,50.7,11.9,22.9
Cobble Hill,323.95238095238096,21,2.659047619047619,67.76190476190476,54.0,93.3,33.9,59.8
College Point,147.17948717948718,39,13.50102564102564,31.974358974358974,24.5,66.2,16.0,34.5
Columbia St,177.83333333333334,6,3.1216666666666666,100.33333333333333,29.6,92.2,50.2,54.6
Concord,134.0,4,17.939999999999998,44.25,22.3,55.0,22.1,32.1
Concourse,108.66666666666667,27,7.914444444444444,99.22222222222223,18.1,80.2,49.6,46.2
Concourse Village,118.85,20,8.692,29.65,19.8,78.2,14.8,35.8
Coney Island,114.65,20,18.9145,45.55,19.1,52.6,22.8,30.3
Corona,97.17777777777778,45,12.96,45.333333333333336,16.2,67.5,22.7,33.5
Country Club,120.25,4,18.4375,0.0,20.0,53.8,0.0,24.1
Crown Heights,167.50079239302696,631,7.802773375594295,42.497622820919176,27.9,80.4,21.2,41.6
Cypress Hills,114.0220588235294,136,13.431544117647059,40.095588235294116,19.0,66.3,20.0,33.5
DUMBO,270.61538461538464,13,1.1876923076923076,133.3846153846154,45.1,97.0,66.7,67.2
Ditmars Steinway,144.78378378378378,111,6.308108108108109,57.027027027027025,24.1,84.2,28.5,43.4
Dongan Hills,181.0,2,20.765,0.5,30.2,47.9,0.2,26.5
Douglaston,166.0,3,24.606666666666666,69.66666666666667,27.7,38.3,34.8,33.0
Downtown Brooklyn,265.90697674418607,43,2.1988372093023254,40.55813953488372,44.3,94.5,20.3,52.2
Dyker Heights,98.1,10,12.278,16.2,16.3,69.2,8.1,29.7
East Elmhurst,133.4774193548387,155,10.18283870967742,81.69677419354839,22.2,74.5,40.8,43.5
East Flatbush,129.23641304347825,368,10.786820652173914,37.35597826086956,21.5,73.0,18.7,36.1
East Harlem,166.26536312849163,358,3.2300558659217873,40.93296089385475,27.7,91.9,20.5,44.8
East Morrisania,145.83333333333334,6,11.326666666666666,13.166666666666666,24.3,71.6,6.6,33.2
East New York,131.76706827309238,249,13.848393574297189,41.734939759036145,22.0,65.3,20.9,34.7
East Village,274.930412371134,388,2.9252835051546393,42.68556701030928,45.8,92.7,21.3,52.5
Eastchester,173.2,10,20.496000000000002,24.4,28.9,48.6,12.2,29.8
Edenwald,83.32,25,21.024,26.32,13.9,47.3,13.2,23.7
Edgemere,179.63636363636363,11,29.627272727272725,33.54545454545455,29.9,25.7,16.8,24.7
Elmhurst,78.7448275862069,145,11.62193103448276,28.213793103448275,13.1,70.9,14.1,30.7
Eltingville,118.33333333333333,3,29.849999999999998,28.0,19.7,25.2,14.0,19.6
Emerson Hill,94.85714285714286,7,21.017142857142858,12.142857142857142,15.8,47.3,6.1,22.3
Far Rockaway,140.6341463414634,41,31.242439024390244,13.463414634146341,23.4,21.7,6.7,17.9
Fieldston,104.28571428571429,7,17.462857142857143,21.0,17.4,56.2,10.5,27.0
Financial District,379.9005681818182,352,1.4159090909090908,31.90340909090909,63.3,96.5,16.0,59.1
Flatbush,136.2914798206278,223,9.929820627802691,45.488789237668165,22.7,75.1,22.7,38.4
Flatiron District,344.54761904761904,42,1.045952380952381,83.26190476190476,57.4,97.4,41.6,64.7
Flatlands,145.3048780487805,82,14.159999999999998,34.048780487804876,24.2,64.5,17.0,34.1
Flushing,124.68924302788845,251,16.985657370517927,36.42231075697211,20.8,57.4,18.2,31.0
Fordham,85.40625,32,13.8490625,13.875,14.2,65.3,6.9,27.3
Forest Hills,148.4126984126984,63,15.839365079365079,30.523809523809526,24.7,60.3,15.3,32.6
Fort Greene,201.86290322580646,124,3.4858064516129033,53.25806451612903,33.6,91.3,26.6,48.8
Fort Hamilton,163.56976744186048,86,13.436046511627907,37.68604651162791,27.3,66.3,18.8,36.4
Fort Wadsworth,600.0,1,17.9,0.0,100.0,55.1,0.0,56.5
Fresh Meadows,119.83333333333333,24,20.78625,20.541666666666668,20.0,47.9,10.3,25.5
Gerritsen Beach,143.33333333333334,6,18.641666666666666,22.666666666666668,23.9,53.3,11.3,28.9
Glendale,116.8913043478261,46,12.79978260869565,25.130434782608695,19.5,67.9,12.6,32.0
Gowanus,263.59302325581393,86,4.5888372093023255,68.31395348837209,43.9,88.5,34.2,54.4
Gramercy,299.25,128,1.98171875,32.140625,49.9,95.0,16.1,53.3
Graniteville,105.75,4,21.737499999999997,46.0,17.6,45.5,23.0,27.6
Grant City,74.27272727272727,11,22.53181818181818,8.181818181818182,12.4,43.5,4.1,19.2
Gravesend,128.8,30,16.05933333333333,40.9,21.5,59.7,20.4,32.6
Great Kills,120.4,5,28.137999999999998,55.8,20.1,29.5,27.9,25.3
Greenpoint,258.3457249070632,269,4.65182156133829,31.895910780669144,43.1,88.3,15.9,48.5
Greenwich Village,390.6219512195122,82,2.7721951219512193,14.804878048780488,65.1,93.1,7.4,56.2
Grymes Hill,239.0,3,17.02,62.333333333333336,39.8,57.3,31.2,42.5
Harlem,157.64867617107942,982,5.034602851323829,45.53462321792261,26.3,87.4,22.8,43.6
Hell's Kitchen,264.29945945945946,925,1.0758702702702703,24.72972972972973,44.0,97.3,12.4,50.5
Highbridge,72.125,8,8.778749999999999,16.75,12.0,78.0,8.4,30.7
Hollis,103.6875,16,24.8175,26.5,17.3,37.8,13.2,22.2
Holliswood,485.0,1,23.62,3.0,80.8,40.8,1.5,45.0
Howard Beach,146.76470588235293,34,18.212058823529414,33.911764705882355,24.5,54.3,17.0,31.2
Howland Hook,137.0,2,22.6,19.5,22.8,43.3,9.8,25.0
Huguenot,108.0,3,31.326666666666668,200.0,18.0,21.5,100.0,43.6
Hunts Point,64.78947368421052,19,9.921052631578947,18.736842105263158,10.8,75.1,9.4,29.7
Inwood,102.39682539682539,63,13.099047619047619,32.698412698412696,17.1,67.2,16.3,31.9
Jackson Heights,89.8411214953271,107,10.534112149532712,36.18691588785047,15.0,73.6,18.1,33.5
Jamaica,119.62189054726367,201,23.598855721393033,57.582089552238806,19.9,40.8,28.8,28.8
Jamaica Estates,99.25,20,21.170499999999997,18.85,16.5,46.9,9.4,23.5
Jamaica Hills,290.0,16,21.229375,12.3125,48.3,46.8,6.2,35.2
Kensington,197.61290322580646,31,9.72709677419355,50.74193548387097,32.9,75.6,25.4,43.5
Kew Gardens,91.76190476190476,21,18.350952380952382,23.047619047619047,15.3,54.0,11.5,25.8
Kew Gardens Hills,205.45454545454547,11,18.53909090909091,25.0,34.2,53.5,12.5,33.5
Kingsbridge,107.86206896551724,29,15.290344827586207,25.689655172413794,18.0,61.7,12.8,29.6
Kips Bay,274.2827868852459,244,1.2554098360655737,12.942622950819672,45.7,96.9,6.5,49.3
Laurelton,122.71794871794872,39,28.51076923076923,35.12820512820513,20.5,28.5,17.6,22.0
Lighthouse Hill,185.0,2,24.83,28.5,30.8,37.8,14.2,27.9
Little Italy,221.66666666666666,69,1.9191304347826086,24.202898550724637,36.9,95.2,12.1,47.0
Little Neck,82.5,4,25.8225,43.5,13.8,35.3,21.8,22.6
Long Island City,222.05531914893618,235,4.860127659574468,40.680851063829785,37.0,87.8,20.3,47.2
Longwood,93.58620689655173,29,8.516551724137932,30.310344827586206,15.6,78.7,15.2,34.4
Lower East Side,251.8277027027027,296,2.0716554054054055,50.486486486486484,42.0,94.8,25.2,52.8
Manhattan Beach,95.25,4,19.384999999999998,80.75,15.9,51.4,40.4,33.9
Marble Hill,115.4,5,15.075999999999999,62.8,19.2,62.2,31.4,35.8
Mariners Harbor,95.34782608695652,23,21.164347826086956,27.47826086956522,15.9,46.9,13.7,24.5
Maspeth,120.67796610169492,59,9.957796610169492,45.355932203389834,20.1,75.0,22.7,37.4
Melrose,105.5625,16,7.873125,54.4375,17.6,80.3,27.2,39.3
Middle Village,181.16666666666666,18,12.914444444444445,44.77777777777778,30.2,67.6,22.4,39.1
Midland Beach,125.44444444444444,9,22.087777777777777,44.77777777777778,20.9,44.6,22.4,28.5
Midtown,372.68438266557644,1223,1.0861651676206052,25.923957481602617,62.1,97.3,13.0,57.9
Midwood,147.16129032258064,31,13.35774193548387,50.516129032258064,24.5,66.5,25.3,37.3
Mill Basin,184.36363636363637,11,16.44090909090909,23.818181818181817,30.7,58.8,11.9,33.5
Morningside Heights,130.30769230769232,52,3.6148076923076924,23.346153846153847,21.7,90.9,11.7,39.5
Morris Heights,87.61538461538461,13,11.24923076923077,20.0,14.6,71.8,10.0,30.4
Morris Park,80.66666666666667,30,15.827,29.5,13.4,60.3,14.8,27.9
Morrisania,112.9090909090909,11,10.000909090909092,14.818181818181818,18.8,74.9,7.4,32.2
Mott Haven,132.3421052631579,38,6.497368421052632,24.105263157894736,22.1,83.7,12.1,37.6
Mount Eden,112.0,4,10.295,68.25,18.7,74.2,34.1,40.0
Mount Hope,84.8,25,11.553199999999999,30.2,14.1,71.0,15.1,31.5
Murray Hill,302.6254180602007,299,0.9857859531772575,14.08695652173913,50.4,97.5,7.0,51.5
Navy Yard,132.0,3,2.46,3.3333333333333335,22.0,93.8,1.7,37.4
Neponsit,272.0,2,25.155,14.5,45.3,36.9,7.2,31.4
New Brighton,112.77777777777777,9,14.214444444444446,93.33333333333333,18.8,64.4,46.7,40.8
